,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
110,003028.SZ,20210324,39.83,40.34,38.91,40.01,40.49,-0.48,-1.1855,20022.72,79441.303
111,003028.SZ,20210323,40.0,41.65,39.6,40.49,39.99,0.5,1.2503,30294.07,123482.586
112,003028.SZ,20210322,39.02,40.35,38.81,39.99,39.14,0.85,2.1717,19184.4,76045.726
113,003028.SZ,20210319,37.79,39.66,37.5,39.14,38.14,1.0,2.6219,22284.62,86593.356
114,003028.SZ,20210318,38.25,38.81,37.91,38.14,38.5,-0.36,-0.9351,14529.51,55614.231
115,003028.SZ,20210317,36.71,38.78,36.66,38.5,36.85,1.65,4.4776,17517.97,66643.151
116,003028.SZ,20210316,36.51,37.16,36.51,36.85,36.53,0.32,0.876,7642.55,28160.554
117,003028.SZ,20210315,36.76,37.17,36.26,36.53,37.34,-0.81,-2.1693,12582.13,46027.576
118,003028.SZ,20210312,38.2,38.2,37.03,37.34,38.11,-0.77,-2.0205,12670.0,47516.053
119,003028.SZ,20210311,37.36,38.43,37.36,38.11,37.31,0.8,2.1442,11517.2,43801.185
120,003028.SZ,20210310,38.65,38.89,37.21,37.31,38.33,-1.02,-2.6611,16286.79,61529.844
121,003028.SZ,20210309,39.79,39.99,38.03,38.33,40.16,-1.83,-4.5568,18146.89,70844.555
122,003028.SZ,20210308,41.38,42.08,40.0,40.16,41.37,-1.21,-2.9248,19604.74,80830.43
123,003028.SZ,20210305,41.0,41.8,40.73,41.37,41.2,0.17,0.4126,15080.64,62293.505
124,003028.SZ,20210304,41.1,41.86,40.9,41.2,41.6,-0.4,-0.9615,20980.55,86634.07
125,003028.SZ,20210303,39.33,41.6,39.04,41.6,39.3,2.3,5.8524,28939.72,117542.776
126,003028.SZ,20210302,40.35,40.38,38.89,39.3,40.31,-1.01,-2.5056,17953.94,70888.469
127,003028.SZ,20210301,39.79,40.39,39.23,40.31,39.18,1.13,2.8841,16154.9,64575.357
128,003028.SZ,20210226,38.58,39.69,38.31,39.18,39.12,0.06,0.1534,16570.69,64734.041
129,003028.SZ,20210225,41.5,41.63,38.91,39.12,41.25,-2.13,-5.1636,31811.62,125740.212
130,003028.SZ,20210224,41.61,42.41,40.79,41.25,41.7,-0.45,-1.0791,19397.5,80662.496
131,003028.SZ,20210223,42.36,42.66,41.2,41.7,43.09,-1.39,-3.2258,25337.67,106152.31
132,003028.SZ,20210222,44.56,44.97,43.08,43.09,44.2,-1.11,-2.5113,32830.76,144398.075
133,003028.SZ,20210219,42.94,44.4,42.14,44.2,43.25,0.95,2.1965,30980.7,134206.496
134,003028.SZ,20210218,41.66,43.49,41.02,43.25,41.45,1.8,4.3426,31609.99,133723.768
135,003028.SZ,20210210,42.6,42.6,40.65,41.45,42.61,-1.16,-2.7224,31130.73,128684.115
136,003028.SZ,20210209,43.2,43.61,40.54,42.61,43.6,-0.99,-2.2706,39373.32,165125.407
137,003028.SZ,20210208,42.67,44.43,41.78,43.6,42.93,0.67,1.5607,32860.13,142043.197
138,003028.SZ,20210205,47.18,47.18,42.8,42.93,47.55,-4.62,-9.7161,62485.94,281048.765
139,003028.SZ,20210204,44.33,48.28,44.02,47.55,44.88,2.67,5.9492,65650.75,307190.224
140,003028.SZ,20210203,41.71,45.55,41.71,44.88,42.48,2.4,5.6497,66767.0,292883.258
141,003028.SZ,20210202,43.12,46.33,42.18,42.48,42.64,-0.16,-0.3752,80632.55,357061.058
142,003028.SZ,20210201,38.0,42.64,37.66,42.64,38.76,3.88,10.0103,51899.2,211153.632
143,003028.SZ,20210129,38.0,39.45,37.73,38.76,36.68,2.08,5.6707,42102.25,162472.747
144,003028.SZ,20210128,38.83,39.1,36.66,36.68,39.48,-2.8,-7.0922,35512.46,134074.479
145,003028.SZ,20210127,39.88,40.5,38.8,39.48,39.48,0.0,0.0,26272.79,103413.234
146,003028.SZ,20210126,40.15,41.97,39.25,39.48,40.5,-1.02,-2.5185,46268.36,186615.483
147,003028.SZ,20210125,37.48,40.67,37.15,40.5,37.6,2.9,7.7128,58782.82,230471.217
148,003028.SZ,20210122,37.25,37.87,36.94,37.6,37.82,-0.22,-0.5817,26825.21,100202.744
149,003028.SZ,20210121,37.65,38.45,36.9,37.82,37.88,-0.06,-0.1584,32341.68,121718.536
150,003028.SZ,20210120,38.54,39.3,37.6,37.88,38.54,-0.66,-1.7125,31844.2,122220.135
151,003028.SZ,20210119,38.63,39.95,38.2,38.54,38.97,-0.43,-1.1034,40833.65,159292.025
152,003028.SZ,20210118,38.48,39.6,37.82,38.97,38.69,0.28,0.7237,50585.03,194833.647
153,003028.SZ,20210115,36.26,40.33,36.17,38.69,36.68,2.01,5.4798,60972.92,235249.841
154,003028.SZ,20210114,37.5,37.68,36.21,36.68,38.68,-2.0,-5.1706,45798.38,169413.886
155,003028.SZ,20210113,37.0,39.6,36.21,38.68,37.2,1.48,3.9785,69374.7,264953.262
156,003028.SZ,20210112,38.97,38.97,37.03,37.2,40.61,-3.41,-8.3969,83029.07,314370.384
157,003028.SZ,20210111,40.99,43.0,40.46,40.61,44.96,-4.35,-9.6753,114149.96,472072.467
158,003028.SZ,20210108,44.96,44.96,44.96,44.96,49.95,-4.99,-9.99,9677.0,43507.792
159,003028.SZ,20210107,61.05,61.05,49.95,49.95,55.5,-5.55,-10.0,15793.0,86600.006
160,003028.SZ,20210106,55.5,55.5,55.5,55.5,50.45,5.05,10.0099,830.22,4607.721
161,003028.SZ,20210105,50.45,50.45,50.45,50.45,45.86,4.59,10.0087,863.88,4358.274
162,003028.SZ,20210104,45.86,45.86,45.86,45.86,41.69,4.17,10.0024,977.1,4480.98
163,003028.SZ,20201231,41.69,41.69,41.69,41.69,37.9,3.79,10.0,1246.31,5195.866
164,003028.SZ,20201230,37.9,37.9,37.9,37.9,34.45,3.45,10.0145,508.06,1925.547
165,003028.SZ,20201229,34.45,34.45,34.45,34.45,31.32,3.13,9.9936,1715.71,5910.62
166,003028.SZ,20201228,26.1,31.32,26.1,31.32,21.75,9.57,44.0,2528.92,7910.094
